number,genus,metabolism,treatment,rep,run1,run2,seconds,gas_id,gas_mM
282,Hymenena,nonccm,Low,1,Dark1,Dark,206,O2,9.578099256
283,Hymenena,nonccm,Low,1,Dark1,Dark,220,O2,9.595522845
284,Hymenena,nonccm,Low,1,Dark1,Dark,233,O2,10.06917932
285,Hymenena,nonccm,Low,1,Dark1,Dark,247,O2,9.728093631
286,Hymenena,nonccm,Low,1,Dark1,Dark,261,O2,9.545335333
287,Hymenena,nonccm,Low,1,Dark1,Dark,275,O2,9.79576786
288,Hymenena,nonccm,Low,1,Dark1,Dark,288,O2,9.406514782
289,Hymenena,nonccm,Low,1,Dark1,Dark,302,O2,9.423938371
290,Hymenena,nonccm,Low,1,Dark1,Dark,316,O2,9.382778299
291,Hymenena,nonccm,Low,1,Dark1,Dark,329,O2,9.539716857
292,Hymenena,nonccm,Low,1,Dark1,Dark,343,O2,9.580182511
293,Hymenena,nonccm,Low,1,Dark1,Dark,357,O2,9.780364398
294,Hymenena,nonccm,Low,1,Dark1,Dark,371,O2,9.451146947
295,Hymenena,nonccm,Low,1,Dark1,Dark,385,O2,9.731944497
296,Hymenena,nonccm,Low,1,Dark1,Dark,398,O2,9.739267454
297,Hymenena,nonccm,Low,1,Dark1,Dark,412,O2,9.523682105
298,Hymenena,nonccm,Low,1,Dark1,Dark,425,O2,9.850185012
299,Hymenena,nonccm,Low,1,Dark1,Dark,439,O2,9.60600225
300,Hymenena,nonccm,Low,1,Dark1,Dark,453,O2,9.450452528
301,Hymenena,nonccm,Low,1,Dark1,Dark,466,O2,9.35695856
302,Hymenena,nonccm,Low,1,Dark1,Dark,480,O2,9.751766985
303,Hymenena,nonccm,Low,1,Dark1,Dark,494,O2,9.461626352
304,Hymenena,nonccm,Low,1,Dark1,Dark,508,O2,9.833392712
305,Hymenena,nonccm,Low,1,Dark1,Dark,521,O2,9.09535221
306,Hymenena,nonccm,Low,1,Dark1,Dark,535,O2,9.256520408
307,Hymenena,nonccm,Low,1,Dark1,Dark,548,O2,9.525070942
308,Hymenena,nonccm,Low,1,Dark1,Dark,562,O2,9.08632477
309,Hymenena,nonccm,Low,1,Dark1,Dark,576,O2,9.689332458
310,Hymenena,nonccm,Low,1,Dark1,Dark,590,O2,9.484605288
311,Hymenena,nonccm,Low,1,Dark1,Dark,603,O2,9.300458154
312,Hymenena,nonccm,Low,1,Dark1,Dark,617,O2,9.178366773
313,Hymenena,nonccm,Low,1,Light1,Light,261,O2,9.676454153
314,Hymenena,nonccm,Low,1,Light1,Light,274,O2,9.563453341
315,Hymenena,nonccm,Low,1,Light1,Light,288,O2,9.342312645
316,Hymenena,nonccm,Low,1,Light1,Light,301,O2,9.788760548
317,Hymenena,nonccm,Low,1,Light1,Light,315,O2,9.329055566
318,Hymenena,nonccm,Low,1,Light1,Light,329,O2,9.391174448
319,Hymenena,nonccm,Low,1,Light1,Light,342,O2,9.340229389
320,Hymenena,nonccm,Low,1,Light1,Light,357,O2,9.580182511
321,Hymenena,nonccm,Low,1,Light1,Light,370,O2,10.1616001
322,Hymenena,nonccm,Low,1,Light1,Light,383,O2,9.292125133
323,Hymenena,nonccm,Low,1,Light1,Light,397,O2,9.67784299
324,Hymenena,nonccm,Low,1,Light1,Light,411,O2,9.463015188
325,Hymenena,nonccm,Low,1,Light1,Light,425,O2,9.399507469
326,Hymenena,nonccm,Low,1,Light1,Light,438,O2,9.629738734
327,Hymenena,nonccm,Low,1,Light1,Light,452,O2,9.79576786
328,Hymenena,nonccm,Low,1,Light1,Light,465,O2,9.881560098
329,Hymenena,nonccm,Low,1,Light1,Light,479,O2,9.865525345
330,Hymenena,nonccm,Low,1,Light1,Light,493,O2,9.481827614
331,Hymenena,nonccm,Low,1,Light1,Light,506,O2,9.924803425
332,Hymenena,nonccm,Low,1,Light1,Light,520,O2,9.852962685
333,Hymenena,nonccm,Low,1,Light1,Light,534,O2,9.666669167
334,Hymenena,nonccm,Low,1,Light1,Light,547,O2,9.781121945
335,Hymenena,nonccm,Low,1,Light1,Light,561,O2,10.19821489
336,Hymenena,nonccm,Low,1,Light1,Light,573,O2,9.726704794
337,Hymenena,nonccm,Low,1,Light1,Light,587,O2,9.364660291
338,Hymenena,nonccm,Low,1,Light1,Light,601,O2,9.780364398
339,Hymenena,nonccm,Low,1,Light1,Light,615,O2,10.23243078
340,Hymenena,nonccm,Low,1,Light1,Light,628,O2,10.02732483
341,Hymenena,nonccm,Low,1,Light1,Light,642,O2,9.991088818
342,Hymenena,nonccm,Low,1,Dark2,Dark,302,O2,8.586469779
343,Hymenena,nonccm,Low,1,Dark2,Dark,316,O2,8.970483155
344,Hymenena,nonccm,Low,1,Dark2,Dark,330,O2,9.017261704
345,Hymenena,nonccm,Low,1,Dark2,Dark,343,O2,8.729835615
346,Hymenena,nonccm,Low,1,Dark2,Dark,357,O2,8.84984374
347,Hymenena,nonccm,Low,1,Dark2,Dark,371,O2,8.951670729
348,Hymenena,nonccm,Low,1,Dark2,Dark,385,O2,9.234867179
349,Hymenena,nonccm,Low,1,Dark2,Dark,398,O2,9.037462966
350,Hymenena,nonccm,Low,1,Dark2,Dark,412,O2,8.978879305
351,Hymenena,nonccm,Low,1,Dark2,Dark,426,O2,8.625230952
352,Hymenena,nonccm,Low,1,Dark2,Dark,440,O2,8.416652916
353,Hymenena,nonccm,Low,1,Dark2,Dark,454,O2,8.737537346
354,Hymenena,nonccm,Low,1,Dark2,Dark,467,O2,8.776614163
355,Hymenena,nonccm,Low,1,Dark2,Dark,480,O2,8.576369148
356,Hymenena,nonccm,Low,1,Dark2,Dark,494,O2,8.855399087
357,Hymenena,nonccm,Low,1,Dark2,Dark,508,O2,8.69776611
358,Hymenena,nonccm,Low,1,Dark2,Dark,523,O2,8.694294018
359,Hymenena,nonccm,Low,1,Dark2,Dark,536,O2,8.628703044
